traduccion,unidad,tipo_palabra,hiragana,katakana,kanji
hola,1,frases,おはよう,*,*
yo,1,extras,わたし,*,私
nosotros,1,extras,わたしたち,*,*
usted,1,extras,あなた,*,*
aquella,1,extras,あのひと/あのかた,*,*
ustedes,1,extras,みなさん,*,*
sufijo niño,1,extras,ちゃん,*,*
sufijo señor,1,extras,さん,*,*
SI,1,extras,はい,*,*
NO,1,extras,いいえ,*,*
profesor,1,sustantivo,せんせい,*,*
maestro,1,sustantivo,きょうし,*,*
estudiante,1,sustantivo,がくせい,*,*
empleado empresa,1,sustantivo,かいしゃいん,*,*
empleado banco,1,sustantivo,ぎんこういん,*,*
medico,1,sustantivo,いしゃ,*,*
investigador,1,sustantivo,けんきゅうしゃ,*,*
ingeniero,1,sustantivo,えんじにあ,エンジニア,*
universidad,1,sustantivo,だいがく,*,大学
hospital,1,sustantivo,びょういん,*,*
QUIEN,1,pregunta,だれ,*,*
años,1,contador,さい,*,*
Cuantos Años,1,pregunta,なんさい,*,*
mucho gusto de conocerte,1,frases,はいじめまして,*,*
encantado de conocerte,1,frases,どうぞよろしくおねがいします,*,*
repita eso por favor,1,frases,もいちどおねがいします,*,*
igualmente,1,frases,こちらこそ,*,*
Estados unidos,1,pais,あめりか,アメリカ,*
Argentina,1,pais,あるぜんちん,アルゼンチン,*
Inglaterra,1,pais,いぎりす,イギリス,*
Italia,1,pais,いたりあ,イタリア,*
Iran,1,pais,いらん,イラン,*
Indonesia,1,pais,いんどねしあ,インドネシア,*
Egipto,1,pais,えぎぷと,エギプト,*
Australia,1,pais,あっすとらりあ,アッストラリア,*
Canada,1,pais,かなだ,カナダ,*
Corea del Sur,1,pais,かんこく,カンコク,*
China,1,pais,ちゅうごく,チュウゴク,*
Arabia Saudita,1,pais,さうじあらびあ,サウジアラビア,*
Singapur,1,pais,しんがぷっる,シンガプッル,*
España,1,pais,すぺいん,スペイン,*
Tailandia,1,pais,たい,タイ,*
Alemania,1,pais,どいつ,ドイツ,*
Japon,1,pais,にほん,ニホン,日本
Francia,1,pais,ふらんす,フランス,*
Filipinas,1,pais,ふいりっぴん,フイリッピン,*
Vietnam,1,pais,べとなむ,ベトナム,*
Malasia,1,pais,まれしあ,マレーシア,*
Mexico,1,pais,めきしこ,メキシコ,*
Rusia,1,pais,るしあ,ルシア,*
India,1,pais,いんど,インド,*
Brasil,1,pais,ぶらしる,ブラシル,*
ingles,1,idioma,えいご,エイゴ,*
español,1,idioma,すぺいんご,スペインゴ,*
frances,1,idioma,ふらんすご,フランスゴ,*
portugues,1,idioma,ぽるとがるご,ポルトガルゴ,*
japones,1,idioma,にほんご,ニホンゴ,日本語
chino,1,idioma,ちゅごくご,チュゴクゴ,*
aleman,1,idioma,どいつご,ドイツゴ,*
arabe,1,idioma,あらびあご,アラビアゴ,*
italiano,1,idioma,いたりあご,イタリアゴ,*
ruso,1,idioma,るしあご,ルシアゴ,*
sufijo gentilicio,1,extras,じん,ジン,人
sufijo idioma,1,extras,ご,ゴ,語
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
este/a/o,2,extras,これ,*,*
ese/a/o,2,extras,それ,*,*
aquel/a/llo,2,extras,あれ,*,*
este S,2,extras,この,*,*
ese S,2,extras,その,*,*
aquel S,2,extras,あの,*,*
libro,2,sustantivo,ほん,*,本
periodico,2,sustantivo,しんぶん,*,*
diccionario,2,sustantivo,じしょ,*,*
revista,2,sustantivo,ざっし,*,*
agenda,2,sustantivo,てちょう,*,*
cuaderno,2,sustantivo,のと,ノート,*
tarjeta de negocios,2,sustantivo,めいし,*,*
tarjeta,2,sustantivo,かど,カード,*
tarjeta de telefono,2,sustantivo,てれほんかど,テレホンカード,*
papel,2,sustantivo,かみ,*,*
silla,2,sustantivo,いす,*,*
escritorio,2,sustantivo,つくえ,*,*
lapiz,2,sustantivo,えんぴつ,*,*
boligrafo,2,sustantivo,ぼるペん,ボ－ルぺン,*
portaminaz,2,sustantivo,しゃぷぺんしる,シャ－プペンシル,*
llave,2,sustantivo,かぎ,*,*
reloj,2,sustantivo,とけい,*,*
paraguas,2,sustantivo,かさ,*,*
valija,2,sustantivo,かばん,*,*
cassete,2,objeto,sustantivo,カセット,*
automovil,2,sustantivo,くらま/じどうしゃ,*,*
grabadora,2,sustantivo,てぷれこだ,テ-プレコ-ダ-,*
television,2,sustantivo,てるび,テルビ,*
radio,2,sustantivo,らじお,ラジオ,*
camara,2,sustantivo,かめら,カメラ,*
computadora,2,sustantivo,こんぴうた,コンピューター,*
computadora personal,2,sustantivo,ぱそこん,パソコン,*
cafe,2,sustantivo,こひ,コ-ヒ-,*
caja,2,sustantivo,はこ,*,*
QUE,2,pregunta,なに/なん,*,何
DE QUIEN,2,pregunta,だれの,*,*
QUIEN,2,pregunta,どなた,*,*
asi,2,frases,そう,*,*
no es asi,2,frases,ちかいです,*,*
ah mira,2,frases,そうですか,*,* 
esto...,2,frases,あのう,*,*
por favor,2,frases,おねがい,*,*
gracias,2,frases,どうも,*,*
muchas gracias,2,frases,ありがとうございます,*,*
le agradezco de antemano su gentil apoyo,2,frases,これから　おせわになります,*,*
yo tambien encantado de conocerle,2,frases,こちらこそ　よるしく,*,*
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
aqui,3,extras,ここ,*,*
este lugar,3,extras,こちら,*,*
ahi,3,extras,そこ,*,*
ese lugar,3,extras,そちら,*,*
alli,3,extras,あそこ,*,*
aquel lugar,3,extras,あちら,*,*
donde,3,extras,どこ,*,*
que lugar,3,extras,どちら,*,*
aula,3,sustantivo,きょうしつ,*,*
comedor,3,sustantivo,しょくどう,*,*
oficina,3,sustantivo,じむしょ,*,*
sala de reuniones,3,sustantivo,かいきしつ,*,*
recepccion,3,sustantivo,うけつけ,*,*
loby,3,sustantivo,ろび-,ロビー,*
habitacion,3,sustantivo,へや,*,*
baño,3,sustantivo,おてあらい,トイレ,*
escaleras,3,sustantivo,かいだん,*,*
ascensor,3,sustantivo,えれべ-た,エレベーター,*
escalera mecanica,3,sustantivo,えすかれ-た,エスカレーター,*
pais,3,sustantivo,(お)くに,*,お国
empresa,3,sustantivo,かいしゃ,*,*
casa,3,sustantivo,うち,*,*
seccio de shoppin,3,sustantivo,うりば,*,*
sotano,3,sustantivo,ちか,*,*
pisos,3,contador,かい,*,*
telefono,3,sustantivo,でんわ,*,*
zapatos,3,sustantivo,くつ,*,*
corbata,3,sustantivo,ねくたい,ネクタイ,*
vino,3,sustantivo,わいん,ワイン,*
tabaco,3,sustantivo,たばこ,タバコ,*
yen,3,sustantivo,えん,*,円
cuanto cuesta,3,pregunta,いくら,*,*
disculpe,3,frases,すみません,*,*
muestremelo por favor,3,frases,(を)みせてください,*,*
bueno,3,frases,じゃ,*,*
demelo por favor,3,frases,(を)ください,*,*
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
levantarse,4,verbos,おきます,*
dormir,4,verbos,ねます,*,*
trabajar,4,verbos,はたらきます,*,*
descansar,4,verbos,やすみます,*,*
estudiar,4,verbos,べんきょうします,*,*
terminar,4,verbos,おわります,*,*
grandes almacenes,4,sustantivo,でぱ-と,デパート,*
banco,4,sustantivo,ぎんこう,*,*
oficina de correos,4,sustantivo,ゆうびんきょく,*,*
biblioteca,4,sustantivo,としょかん,*,*
museo de bellas artes,4,sustantivo,びじゅつかん,*,*
mañana,4,sustantivo,あさ,*,*
